Date,Shanghai
2018-11-28,2601.74
2018-11-29,2567.44
2018-11-30,2588.19
2018-12-03,2654.80
2018-12-04,2665.96
2018-12-05,2649.81
2018-12-06,2605.18
2018-12-07,2605.89
2018-12-10,2584.58
2018-12-11,2594.09
2018-12-12,2602.15
2018-12-13,2634.05
2018-12-14,2593.74
2018-12-17,2597.97
2018-12-18,2576.65
2018-12-19,2549.56
2018-12-20,2536.27
2018-12-21,2516.25
2018-12-24,2527.01
2018-12-25,2504.82
2018-12-26,2498.29
2018-12-27,2483.09
2018-12-28,2493.90
2019-01-02,2465.29
2019-01-03,2464.36
2019-01-04,2514.87
2019-01-07,2533.09
2019-01-08,2526.46
2019-01-09,2544.34
2019-01-10,2535.10
2019-01-11,2553.83
2019-01-14,2535.77
2019-01-15,2570.34
2019-01-16,2570.42
2019-01-17,2559.64
2019-01-18,2596.01
2019-01-21,2610.51
2019-01-22,2579.70
2019-01-23,2581.00
2019-01-24,2591.69
2019-01-25,2601.72
2019-01-28,2596.98
2019-01-29,2594.25
2019-01-30,2575.58
2019-01-31,2584.57
2019-02-01,2618.23
2019-02-11,2653.90
2019-02-12,2671.89
2019-02-13,2721.07
2019-02-14,2719.70
2019-02-15,2682.39
2019-02-18,2754.36
2019-02-19,2755.65
2019-02-20,2761.22
2019-02-21,2751.80
2019-02-22,2804.23
2019-02-25,2961.28
2019-02-26,2941.52
2019-02-27,2953.82
2019-02-28,2940.95
2019-03-01,2994.01
2019-03-04,3027.58
2019-03-05,3054.25
2019-03-06,3102.10
2019-03-07,3106.42
2019-03-08,2969.86
2019-03-11,3026.99
2019-03-12,3060.31
2019-03-13,3026.95
2019-03-14,2990.68
2019-03-15,3021.75
2019-03-18,3096.42
2019-03-19,3090.97
2019-03-20,3090.64
2019-03-21,3101.45
2019-03-22,3104.15
2019-03-25,3043.03
2019-03-26,2997.10
2019-03-27,3022.72
2019-03-28,2994.94
2019-03-29,3090.76
2019-04-01,3170.36
2019-04-02,3176.82
2019-04-03,3216.30
2019-04-04,3246.57
2019-04-08,3244.81
2019-04-09,3239.66
2019-04-10,3241.93
2019-04-11,3189.96
2019-04-12,3188.63
2019-04-15,3177.79
2019-04-16,3253.60
2019-04-17,3263.12
2019-04-18,3250.20
2019-04-19,3270.80
2019-04-22,3215.04
2019-04-23,3198.59
2019-04-24,3201.61
2019-04-25,3123.83
2019-04-26,3086.40
2019-04-29,3062.50
2019-04-30,3078.34
2019-05-06,2906.46
2019-05-07,2926.39
2019-05-08,2893.76
2019-05-09,2850.95
2019-05-10,2939.21
2019-05-13,2903.71
2019-05-14,2883.61
2019-05-15,2938.68
2019-05-16,2955.71
2019-05-17,2882.30
2019-05-20,2870.60
2019-05-21,2905.97
2019-05-22,2891.70
2019-05-23,2852.52
2019-05-24,2852.99
2019-05-27,2892.38
2019-05-28,2909.91
2019-05-29,2914.70
2019-05-30,2905.81
2019-05-31,2898.70
2019-06-03,2890.08
2019-06-04,2862.28
2019-06-05,2861.42
2019-06-06,2827.80
2019-06-10,2852.13
2019-06-11,2925.72
2019-06-12,2909.38
2019-06-13,2910.74
2019-06-14,2881.97
2019-06-17,2887.62
2019-06-18,2890.16
2019-06-19,2917.80
2019-06-20,2987.12
2019-06-21,3001.98
2019-06-24,3008.15
2019-06-25,2982.07
2019-06-26,2976.28
2019-06-27,2996.79
2019-06-28,2978.88
2019-07-01,3044.90
2019-07-02,3043.94
2019-07-03,3015.26
2019-07-04,3005.25
2019-07-05,3011.06
2019-07-08,2933.36
2019-07-09,2928.23
2019-07-10,2915.30
2019-07-11,2917.76
2019-07-12,2930.55
2019-07-15,2942.19
2019-07-16,2937.62
2019-07-17,2931.69
2019-07-18,2901.18
2019-07-19,2924.20
2019-07-22,2886.97
2019-07-23,2899.94
2019-07-24,2923.28
2019-07-25,2937.36
2019-07-26,2944.54
2019-07-29,2941.01
2019-07-30,2952.34
2019-07-31,2932.51
2019-08-01,2908.77
2019-08-02,2867.84
2019-08-05,2821.50
2019-08-06,2777.56
2019-08-07,2768.68
2019-08-08,2794.55
2019-08-09,2774.75
2019-08-12,2814.99
2019-08-13,2797.26
2019-08-14,2808.91
2019-08-15,2815.80
2019-08-16,2823.82
2019-08-19,2883.10
2019-08-20,2880.00
2019-08-21,2880.33
2019-08-22,2883.44
2019-08-23,2897.43
2019-08-26,2863.57
2019-08-27,2902.19
2019-08-28,2893.76
2019-08-29,2890.92
