Date,Close,Open,High,Low,Volue_K,Volume
2019-07-02,10835.90,10615.50,10923.50,9728.50,1.12,1120000.00
2019-07-03,11900.80,10835.90,11931.80,10835.90,998.73,998730.00
2019-07-04,11163.10,11899.30,11948.00,11087.10,840.34,840340.00
2019-07-05,10970.20,11159.70,11381.80,10810.30,772.67,772670.00
2019-07-06,11268.00,10969.80,11650.20,10967.90,688.96,688960.00
2019-07-07,11415.90,11267.90,11524.60,11108.10,601.93,601930.00
2019-07-08,12252.60,11415.80,12332.30,11304.80,695.60,695600.00
2019-07-09,12541.50,12250.60,12772.90,12111.20,847.84,847840.00
2019-07-10,12110.60,12542.80,13134.40,11594.90,1.11,1110000.00
2019-07-11,11342.30,12111.60,12111.60,11029.00,943.13,943130.00
2019-07-12,11762.10,11343.70,11881.40,11109.80,738.17,738170.00
2019-07-13,11364.90,11762.80,11798.40,10839.40,747.71,747710.00
2019-07-14,10200.10,11364.30,11448.70,10128.90,840.76,840760.00
2019-07-15,10845.90,10199.90,11064.70,9885.40,956.52,956520.00
2019-07-16,9424.80,10844.00,11019.50,9375.30,1.05,1050000.00
2019-07-17,9723.20,9425.10,9983.60,9082.60,1.03,1030000.00
2019-07-18,10651.40,9723.10,10787.10,9390.00,974.49,974490.00
2019-07-19,10571.50,10651.60,10758.40,10160.70,727.79,727790.00
2019-07-20,10826.70,10571.90,11155.60,10462.00,668.94,668940.00
2019-07-21,10714.40,10827.00,10883.80,10442.50,562.17,562170.00
2019-07-22,10412.50,10715.10,10806.30,10196.50,591.27,591270.00
2019-07-23,9888.70,10412.80,10414.70,9865.40,663.38,663380.00
2019-07-24,9804.30,9887.20,9945.30,9584.00,639.54,639540.00
2019-07-25,9945.30,9804.70,10203.50,9776.60,545.85,545850.00
2019-07-26,9831.00,9945.20,10436.10,9724.20,493.75,493750.00
2019-07-27,9492.10,9830.40,10232.30,9389.10,661.89,661890.00
2019-07-28,9727.80,9491.10,9798.50,9401.10,518.59,518590.00
2019-07-29,9580.90,9728.50,9835.40,9502.50,510.90,510900.00
2019-07-30,9580.70,9580.00,9703.00,9483.00,511.51,511510.00
2019-07-31,10082.00,9580.30,10100.00,9562.40,589.84,589840.00
2019-08-01,10380.00,10081.90,10459.00,9890.60,608.37,608370.00
2019-08-02,10520.10,10380.50,10664.80,10330.50,578.29,578290.00
2019-08-03,10815.70,10519.90,10893.60,10504.50,508.75,508750.00
2019-08-04,10934.60,10816.10,11017.70,10568.80,585.71,585710.00
2019-08-05,11816.80,10934.80,11922.30,10934.80,769.63,769630.00
2019-08-06,11480.90,11817.60,12291.90,11237.00,807.58,807580.00
2019-08-07,12013.90,11481.00,12114.50,11406.40,702.85,702850.00
2019-08-08,12191.60,12015.90,12236.60,11727.00,592.15,592150.00
2019-08-09,12089.80,12190.00,12225.30,11885.00,558.72,558720.00
2019-08-10,11314.50,12090.50,12185.00,11281.60,570.74,570740.00
2019-08-11,11517.20,11314.60,11728.40,11146.10,435.83,435830.00
2019-08-12,11394.20,11505.10,11508.60,11267.30,391.08,391080.00
2019-08-13,10892.90,11395.00,11445.60,10793.20,540.78,540780.00
2019-08-14,10049.40,10894.20,10894.50,9965.50,745.59,745590.00
2019-08-15,10303.40,10053.30,10448.20,9580.10,930.05,930050.00
2019-08-16,10335.60,10300.90,10734.00,9788.60,798.67,798670.00
2019-08-17,10218.10,10335.50,10460.70,10016.30,497.77,497770.00
2019-08-18,10312.70,10219.30,10494.90,10086.70,441.11,441110.00
2019-08-19,10910.70,10312.80,10923.90,10267.80,519.01,519010.00
2019-08-20,10752.60,10911.20,10941.60,10581.00,515.47,515470.00
2019-08-21,10141.50,10753.30,10797.80,9908.00,717.65,717650.00
2019-08-22,10105.00,10141.10,10218.20,9777.00,520.75,520750.00
2019-08-23,10388.70,10104.90,10434.30,9921.40,436.26,436260.00
2019-08-24,10131.00,10389.40,10415.90,9917.50,463.85,463850.00
2019-08-25,10136.30,10132.10,10307.00,9935.20,422.53,422530.00
2019-08-26,10371.80,10136.00,10568.20,10136.00,568.77,568770.00
2019-08-27,10184.80,10372.20,10387.60,10060.20,419.81,419810.00
2019-08-28,9729.40,10184.70,10271.30,9629.60,580.29,580290.00
2019-08-29,9491.00,9729.10,9729.10,9343.00,509.13,509130.00
2019-08-30,9585.40,9494.10,9675.70,9370.20,413.92,413920.00
2019-08-31,9594.40,9585.50,9677.50,9457.30,311.49,311490.00
2019-09-01,9729.30,9594.70,9799.50,9533.60,322.66,322660.00
2019-09-02,10348.80,9728.80,10431.50,9720.30,542.79,542790.00
2019-09-03,10612.30,10348.10,10756.80,10283.50,578.79,578790.00
2019-09-04,10568.20,10611.60,10783.60,10388.60,504.45,504450.00
2019-09-05,10566.90,10567.80,10630.70,10469.90,402.09,402090.00
2019-09-06,10309.30,10566.70,10896.20,10227.40,643.02,643020.00
2019-09-07,10461.10,10306.90,10556.40,10302.30,393.57,393570.00
2019-09-08,10402.80,10461.60,10578.00,10266.30,339.73,339730.00
2019-09-09,10309.00,10402.10,10478.00,10095.70,473.76,473760.00
2019-09-10,10105.40,10308.70,10379.80,9970.70,383.22,383220.00
2019-09-11,10162.50,10104.90,10257.50,9908.90,413.06,413060.00
2019-09-12,10415.10,10162.40,10447.90,10051.00,413.22,413220.00
2019-09-13,10342.10,10415.20,10441.40,10174.10,365.52,365520.00
2019-09-14,10337.30,10342.20,10421.40,10253.70,326.44,326440.00
2019-09-15,10311.50,10337.30,10360.40,10272.00,255.79,255790.00
2019-09-16,10255.50,10311.30,10360.50,10108.50,372.53,372530.00
2019-09-17,10195.70,10254.60,10273.60,10153.50,321.64,321640.00
2019-09-18,10164.70,10195.70,10257.50,10119.30,318.82,318820.00
2019-09-19,10250.50,10164.60,10297.60,9707.60,542.25,542250.00
2019-09-20,10172.70,10251.50,10279.50,10088.60,362.07,362070.00
2019-09-21,9993.00,10172.80,10177.90,9939.80,326.17,326170.00
2019-09-22,10031.60,9993.00,10075.00,9870.90,337.06,337060.00
2019-09-23,9702.20,10031.30,10048.80,9656.30,431.10,431100.00
2019-09-24,8513.90,9702.70,9793.80,8069.40,933.16,933160.00
2019-09-25,8432.40,8512.30,8729.80,8245.10,696.11,696110.00
2019-09-26,8063.80,8432.50,8463.10,7773.60,731.03,731030.00
2019-09-27,8184.90,8063.80,8257.40,7882.10,561.40,561400.00
2019-09-28,8208.50,8184.50,8297.20,8031.10,457.79,457790.00
2019-09-29,8049.10,8208.00,8226.80,7922.10,418.48,418480.00
2019-09-30,8284.30,8048.90,8318.50,7749.00,600.26,600260.00
2019-10-01,8302.70,8285.00,8486.20,8187.90,533.95,533950.00
2019-10-02,8364.10,8302.70,8374.00,8167.70,405.86,405860.00
2019-10-03,8226.90,8363.60,8391.70,8090.10,460.97,460970.00
2019-10-04,8148.10,8227.60,8233.60,8041.40,416.92,416920.00
2019-10-05,8127.30,8148.00,8185.10,8030.60,360.92,360920.00
2019-10-06,7881.90,8127.30,8145.50,7834.90,448.80,448800.00
2019-10-07,8198.60,7882.60,8293.50,7797.00,604.74,604740.00
2019-10-08,8182.90,8198.50,8323.10,8118.10,469.04,469040.00
2019-10-09,8566.70,8180.10,8655.90,8122.70,636.43,636430.00
2019-10-10,8562.30,8566.80,8638.50,8438.70,511.46,511460.00
2019-10-11,8267.80,8562.20,8751.10,8249.70,667.86,667860.00
2019-10-12,8304.40,8267.60,8394.80,8260.90,424.02,424020.00
2019-10-13,8281.50,8304.30,8450.20,8190.60,419.87,419870.00
2019-10-14,8353.30,8281.30,8374.30,8222.20,505.02,505020.00
2019-10-15,8167.20,8353.40,8400.20,8139.50,469.73,469730.00
2019-10-16,8000.40,8167.10,8185.90,7929.80,538.92,538920.00
2019-10-17,8073.30,8000.40,8118.20,7944.40,444.95,444950.00
2019-10-18,7948.50,8073.30,8116.40,7842.00,505.79,505790.00
2019-10-19,7957.30,7948.30,8060.20,7892.40,428.83,428830.00
2019-10-20,8223.40,7957.40,8288.50,7889.60,513.91,513910.00
2019-10-21,8208.20,8224.10,8315.30,8155.70,489.40,489400.00
2019-10-22,8031.40,8207.40,8289.10,8017.70,570.39,570390.00
2019-10-23,7477.00,8031.00,8055.00,7329.20,892.08,892080.00
2019-10-24,7422.70,7476.80,7501.50,7366.30,586.49,586490.00
2019-10-25,8658.30,7422.80,8697.70,7404.90,1.18,1180000.00
2019-10-26,9230.60,8658.40,10540.00,8061.80,1.78,1780000.00
